,step,dice_score,learning_rate,batch_size,encoder
76,1560,0.866176,0.00023688639503640778,256,resnet18
77,1500,0.866098,0.0005395030966670228,640,resnet18
78,380,0.865845,0.0007348118405270448,384,resnet34
79,4200,0.865757,0.00023688639503640778,384,resnet34
80,840,0.865188,0.0001143098387631322,384,resnet50
81,1100,0.865093,0.0007348118405270448,512,resnet34
82,1100,0.864575,0.0005105903209394755,256,resnet34
83,720,0.863583,0.0008927180304353625,512,resnet18
84,3880,0.86321,0.00014321698289111517,512,resnet34
85,520,0.86308,0.0005105903209394755,768,resnet18
86,4900,0.862923,0.0001432249371823025,384,resnet34
87,1780,0.862192,0.00023688639503640778,512,resnet18
88,1080,0.862058,0.0005395030966670228,256,resnet18
89,2200,0.861547,0.0005105903209394755,512,resnet34
90,560,0.860952,0.0008927180304353625,256,resnet18
91,720,0.86008,0.0008927180304353625,384,resnet34
92,1140,0.859415,0.0005395030966670228,384,resnet18
93,820,0.858817,0.00023688639503640778,640,resnet18
94,2780,0.858463,0.00039913058785616786,256,resnet34
95,3300,0.858423,0.0005395030966670228,512,resnet18
96,1860,0.858255,0.00039687933304443713,640,resnet18
97,1780,0.857191,0.0005395030966670228,640,resnet34
98,1760,0.857151,0.00039687933304443713,512,resnet18
99,2400,0.857095,0.00023688639503640778,256,resnet34
100,3940,0.85703,0.00039687933304443713,512,resnet34
101,680,0.856771,0.0005395030966670228,256,resnet34
102,1200,0.85608,0.0007348118405270448,256,resnet34
103,2060,0.855707,0.00014321698289111517,768,resnet18
104,1520,0.855543,0.00039913058785616786,256,resnet18
105,1140,0.855497,0.00039913058785616786,768,resnet18
106,1200,0.855332,0.00039687933304443713,640,resnet34
107,840,0.855289,0.0007348118405270448,128,resnet18
108,4860,0.855263,0.0001432249371823025,512,resnet34
109,1520,0.855079,0.00039687933304443713,768,resnet18
110,4020,0.854632,0.00023688639503640778,640,resnet34
111,3000,0.852645,0.00039687933304443713,384,resnet34
112,3640,0.85245,0.00014321698289111517,256,resnet34
113,2380,0.852271,0.00039913058785616786,512,resnet34
114,3960,0.852257,0.0001432249371823025,256,resnet34
115,1920,0.851759,0.0005105903209394755,640,resnet34
116,500,0.850375,0.00039913058785616786,512,resnet18
117,1620,0.849985,0.00039913058785616786,384,resnet18
118,4020,0.849237,0.0001432249371823025,640,resnet34
119,3060,0.848983,0.00023688639503640778,768,resnet18
120,1580,0.848894,0.0007348118405270448,512,resnet18
121,4960,0.84709,0.00014321698289111517,640,resnet34
122,1380,0.845621,0.0001143098387631322,384,resnet18
123,760,0.845517,0.0007348118405270448,640,resnet18
124,2960,0.845161,0.0005395030966670228,128,resnet34
125,2860,0.844981,0.0008927180304353625,384,resnet18
126,3480,0.843943,0.00014321698289111517,384,resnet34
127,680,0.84391,0.0005105903209394755,384,resnet18
128,540,0.843246,0.0008927180304353625,768,resnet18
129,2080,0.842475,0.00039913058785616786,640,resnet34
130,920,0.842401,0.0008927180304353625,128,resnet18
131,4640,0.84221,0.0001143098387631322,384,resnet34
132,1760,0.841618,0.00014321698289111517,384,resnet18
133,4720,0.8412,0.00023688639503640778,512,resnet34
134,1120,0.840224,0.0005395030966670228,512,resnet34
135,4900,0.83877,0.0001143098387631322,640,resnet34
136,960,0.838001,0.00014321698289111517,640,resnet18
137,1640,0.836589,0.00039687933304443713,128,resnet34
138,4720,0.83545,0.00014321698289111517,256,resnet18
139,4600,0.835431,0.0001143098387631322,512,resnet34
140,4980,0.835423,0.0001143098387631322,256,resnet34
141,1660,0.834281,0.0001432249371823025,384,resnet18
142,700,0.832951,0.0001432249371823025,768,resnet18
143,1120,0.832127,0.0001143098387631322,512,resnet18
144,2440,0.832056,0.0008927180304353625,512,resnet34
145,3280,0.832042,0.0001143098387631322,640,resnet18
146,2220,0.831027,0.0007348118405270448,640,resnet34
147,1220,0.830894,0.0001432249371823025,256,resnet18
148,780,0.82981,0.00014321698289111517,512,resnet18
149,2940,0.828368,0.0001143098387631322,768,resnet18
150,2940,0.827771,0.0005105903209394755,128,resnet34
151,1340,0.826023,0.0008927180304353625,640,resnet34
152,720,0.824394,0.0001432249371823025,640,resnet18
153,600,0.822567,0.00039913058785616786,128,resnet34
154,1680,0.819068,0.0001143098387631322,256,resnet18
155,1760,0.818929,0.0001432249371823025,512,resnet18
156,2040,0.811775,0.0005395030966670228,384,resnet34
157,3380,0.810195,0.0008927180304353625,128,resnet34
158,2940,0.806402,0.0005105903209394755,512,resnet18
159,2320,0.76495,0.0007348118405270448,128,resnet34
